notes,recalc,era,rapper,rapper_clean,color,words,id,source,images
,2988,2010s,21 Savage,21 Savage,,2988,21-savage,new,assets/images/21-savage.jpg
,3812,2010s,2 Chainz,2 Chainz,,4148,2chainz,poster,assets/images/2chainz.jpg
,3815,1990s,2Pac,2Pac,west nowutang second,"3,970",2pac,site,assets/images/2pac.jpg
,3384,2000s,50 Cent,50 Cent,east nowutang first,"3,591",50-cent,site,assets/images/50-cent.jpg
,4534,2010s,Ab-Soul,Ab-Soul,,4534,absoul,new,assets/images/absoul.jpg
,5233,2010s,Action Bronson,Action Bronson,,6186,action,poster,assets/images/action.jpg
,7879,2000s,Aesop Rock,Aesop Rock,east nowutang seventh,"7,392",action,site,assets/images/aesop.jpg
,4414,2010s,A$AP Rocky,A$AP Rocky,,4414,action,new,assets/images/asap.jpg
,3851,2010s,A$AP Ferg,A$AP Ferg,,3851,action,new,assets/images/asap-ferg.jpg
,4730,2000s,Atmosphere,Atmosphere,,4829,action,poster,assets/images/atmosphere.jpg
,4632,1980s,Beastie Boys,Beastie Boys,east nowutang sixth,"5,090",action,site,assets/images/beastie-boys.jpg
,4655,1980s,Big Daddy Kane,Big Daddy Kane,east nowutang fifth,"4,768",action,site,assets/images/big-daddy-kane.jpg
,3823,2010s,Big KRIT,Big KRIT,,3823,action,new,assets/images/big-krit.jpg
,4011,1990s,Big L,Big L,,4011,action,new,assets/images/big-l.jpg
,3563,2010s,Big Sean,Big Sean,,3563,action,new,assets/images/big-sean.jpg
,4423,1980s,Biz Markie,Biz Markie,east nowutang fourth,"4,313",action,site,assets/images/biz-markie.jpg
,5741,2000s,Blackalicious,Blackalicious,west nowutang sixth,"5,480",action,site,assets/images/blackalicious.jpg
,3748,2010s,BoB,BoB,,"3,748",action,new,assets/images/bob.jpg
,3219,1990s,Bone Thugs-n-Harmony,Bone Thugs-n-Harmony,midwest nowutang first,"3,219",action,site,assets/images/bone-thugs.jpg
,2738,2010s,A Boogie wit da Hoodie,A Boogie wit da Hoodie,,2738,action,new,assets/images/boogie-hoodie.jpg
,4542,1990s,Brand Nubian,Brand Nubian,east nowutang fifth,"4,609",action,site,assets/images/brand-nubian.jpg
,3924,2010s,Brockhampton,Brockhampton,,3924,action,new,assets/images/brockhampton.jpg
,4928,2000s,Brother Ali,Brother Ali,midwest nowutang fifth,"4,700",action,site,assets/images/brother-ali.jpg
remove,3875,2000s,Bun B,Bun B,,"3,875",action,new,assets/images/bunb.jpg
,7324,2000s,Busdriver,Busdriver,,7324,action,new,assets/images/busdriver.jpg
,4613,1990s,Busta Rhymes,Busta Rhymes,east nowutang fifth,"4,839",action,site,assets/images/busta-rhymes.jpg
,4236,2000s,Cam'ron,Cam'ron,east nowutang fourth,"4,406",action,site,assets/images/camron.jpg
,5915,2000s,Canibus,Canibus,east nowutang seventh,"5,991",action,site,assets/images/canibus.jpg
,3682,2010s,Childish Gambino,Childish Gambino,,4465,action,poster,assets/images/childish.jpg
remove,,,Clipse,Clipse,south nowutang fourth,"4,514",action,site,assets/images/clipse.jpg
,5138,1990s,Common,Common,midwest nowutang sixth,"4,974",action,site,assets/images/common.jpg
,5496,2000s,CunninLynguists,CunninLynguists,south nowutang seventh,"5,971",action,site,assets/images/cunninlynguists.jpg
,3965,2010s,Cupcakke,Cupcakke,,3965,action,new,assets/images/cupcakke.jpg
,4644,1990s,Cypress Hill,Cypress Hill,west nowutang fourth,"4,568",action,site,assets/images/cypress-hill.jpg
,4361,2010s,Danny Brown,Danny Brown,,,action,poster,assets/images/danny.jpg
,5178,1990s,Das EFX,Das EFX,east nowutang sixth,"5,005",action,site,assets/images/das-efx.jpg
,4812,1990s,De La Soul,De La Soul,east nowutang sixth,"4,933",action,site,assets/images/de-la-soul.jpg
,4282,2010s,Death Grips,Death Grips,,"4,282",action,new,assets/images/death.jpg
,5845,1990s,Del the Funky Homosapian,Del the Funky Homosapian,,6135,action,poster,assets/images/del.jpg
,4426,2010s,Denzel Curry,Denzel Curry,,4426,action,new,assets/images/denzel.jpg
,3863,2000s,Dizzee Rascal,Dizzee Rascal,,3863,action,new,assets/images/dizzee-rascal.jpg
,2936,1990s,DMX,DMX,east nowutang first,"2,936",action,site,assets/images/dmx.jpg
,3347,2010s,Drake,Drake,other nowutang first,"3,347",action,site,assets/images/drake.jpg
,5004,1990s,E-40,E-40,west nowutang sixth,"5,207",action,site,assets/images/e-40.jpg
,4480,2000s,Eminem,Eminem,midwest nowutang fourth,"4,494",action,site,assets/images/eminem.jpg
,3642,2000s,Eve,Eve,,3642,action,,assets/images/eve.jpg
,4626,1990s,Fat Joe,Fat Joe,east nowutang fifth,"4,686",action,site,assets/images/fat-joe.jpg
,4879,2010s,Flatbush Zombies,Flatbush Zombies,,4879,action,new,assets/images/flatbush.jpg
,3782,1990s,Foxy Brown,Foxy Brown,,"3,782",action,,assets/images/foxy-brown.jpg
,3321,2010s,Future,Future,,3321,action,new,assets/images/future.jpg
,3468,2010s,G-Eazy,G-Eazy,,3468,action,new,assets/images/g-eazy.jpg
,4236,2000s,The Game,The Game,west nowutang fourth,"4,416",action,site,assets/images/game.jpg
,4598,1990s,Gang Starr,Gang Starr,east nowutang fifth,"4,794",action,site,assets/images/gang-starr.jpg
,4364,1990s,Geto Boys,Geto Boys,south nowutang fourth,"4,180",action,site,assets/images/geto-boys.jpg
,5901,2000s,Ghostface Killah (only solo albums),Ghostface Killah,east wutang seventh,"5,774",action,site,assets/images/ghostface-killah.jpg
,4980,1990s,Goodie Mob,Goodie Mob,south nowutang fifth,"4,814",action,site,assets/images/goodie-mob.jpg
,3515,2000s,Gucci Mane,Gucci Mane,south nowutang second,"3,885",action,site,assets/images/gucci-mane.jpg
,6390,1990s,GZA (only solo albums),GZA,east wutang seventh,"6,426",action,site,assets/images/gza.jpg
,3898,2010s,Hopsin,Hopsin,,3898,action,new,assets/images/hopsin.jpg
,4338,1990s,Ice Cube,Ice Cube,west nowutang fourth,"4,371",action,site,assets/images/ice-cube.jpg
,4334,1980s,Ice T,Ice T,east nowutang fourth,"4,431",action,site,assets/images/ice-t.jpg
,5930,2000s,Immortal Technique,Immortal Technique,,5841,action,poster,assets/images/immortal.jpg
,3905,1990s,Insane Clown Posse,Insane Clown Posse,midwest nowutang third,"4,146",action,site,assets/images/insane-clown-posse.jpg
